0;2012-11-20T07:50:09+01:00;2012-11-20T07:50:09+01:00;2012-11-20T07:46:44+01:00;UNKNOWNA;UNKNOWNT;LOM1406;UNKNOWNCIM;0;+47.9977;+011.6758;01;020F140412CB320F943181B42CAF04100200300400
0;2012-11-20T07:50:07+01:00;2012-11-20T07:49:59+01:00;2012-11-20T07:49:59+01:00;UNKNOWNA;UNKNOWNM;SR010707;UNKNOWNCIM;0;+44.6275;+011.2741;0E;0
0;2012-11-20T07:50:09+01:00;2012-11-20T07:50:09+01:00;2012-11-20T07:48:58+01:00;UNKNOWNA;UNKNOWNT;LOM1434;UNKNOWNCIM;0;+47.4614;+011.9340;01;02010200000
0;2012-11-20T07:50:07+01:00;2012-11-20T07:50:02+01:00;2012-11-20T07:50:02+01:00;UNKNOWNA;UNKNOWNM;SR010933;UNKNOWNCIM;0;+44.9503;+007.9470;01;0701020304050D164A06314102b5845c04A50ab362650ab34e305001011024034044F98120F70200000000005EEF8C036F231bfb17
0;2012-11-20T07:50:04+01:00;2012-11-20T07:50:04+01:00;2012-11-20T07:50:04+01:00;UNKNOWNA;UNKNOWNT;TEQ3572001298;UNKNOWNCIM;0;+45.1075;+007.2827;12;0140
0;2012-11-20T07:50:09+01:00;2012-11-20T07:50:09+01:00;2012-11-20T07:49:17+01:00;UNKNOWNA;UNKNOWNT;LOM1499;UNKNOWNCIM;0;+47.6800;+013.1039;01;02010200000
0;2012-11-20T07:50:24+01:00;2012-11-20T07:50:19+01:00;2012-11-20T07:50:19+01:00;UNKWONA;UNKNOWNM;SR010688;UNKNOWNCIM;0;+49.9074;+016.2028;01;06010204050D164407A4637dd004550ab363750ab34f605001011024034044000000000000890D000011C01F008659e11ad8
0;2012-11-20T07:50:09+01:00;2012-11-20T07:50:09+01:00;2012-11-20T07:49:28+01:00;UNKNOWNA;UNKNOWNT;LOM1423;UNKNOWNCIM;0;+47.3206;+011.6601;01;02010200000
0;2012-11-20T07:50:08+01:00;2012-11-20T07:43:50+01:00;2012-11-20T07:43:50+01:00;UNKNOWNA;UNKNOWNT;TEQ0541751151;UNKNOWNCIM;0;+44.9072;+008.6184;2B;640120/11/1207:56:2005979201431009481    0.000    0.000
0;2012-11-20T07:50:08+01:00;2012-11-20T07:45:37+01:00;2012-11-20T07:45:37+01:00;UNKNOWNA;UNKNOWNM;SR010876;UNKNOWNCIM;0;+45.4451;+008.7907;38;50ab3521C8BNAAazAUFQ5h0Kq8NkQSToBrJ2+zZBUUBSZ9iRIAgCIZTLeJofJYDrqLIVJoleNqUZJ4HsozgeKIpPluYdIXx6p8wFH5TSG2EMHJNtVbA=
